GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
LY355B012,3,1.054,30.907,31.587,0.907,32.119,32.45
LY355B012,4,0.783,29.919,30.508,1.054,30.907,31.587
LY355B012,5,NA,NA,NA,0.783,29.919,30.508
LY355B012,1,2.027,31.535,32.697,NA,NA,NA
LY355B012,2,0.907,32.119,32.45,2.027,31.535,32.697
LY355B012,3,1.054,30.907,31.587,0.907,32.119,32.45
LY357,1,2.59,31.479,32.77,NA,NA,NA
LY357,2,0.63,31.793,32.143,2.59,31.479,32.77
LY357,3,1.07,31.024,31.57,0.63,31.793,32.143
LY357,4,0.883,29.919,30.37,1.07,31.024,31.57
